id,word,question_type,question_instruction,question_text,choices,correct_choice,tip_short,tip_long,level,frequency
P6rj7H@)}(,spear,Apply the Meaning,,Which of the following is most likely used to spear a fish?,a vegetarian | a fishing net | a pole with a pointed tip | an aquarium,a pole with a pointed tip,"In this question, spear is a verb that means to pierce with a long pointed rod.","A spear consists of a long shaft that has a sharp point at one end. You might use one to go spear fishing, but that's about it. Spears are no longer the weapon of choice. Spear also refers to the action of impaling something or someone with a spear. “Odysseus blinded the Cyclops by jamming a huge spear into its eye.” In addition to the long-shafted, pointy spear that people throw, spear is the name for the sprout of a plant. In the vegetable world, separate stalks of asparagus are called spears.",3,0.004081633
k?SuduiE)q,gospel,Fill in the Blank,,"Admittedly, not everyone to whom the two outreach workers preach the ________ of organics collection is a believer.",gospel | stinger | chivalry | fragrance,gospel,"In this question, gospel is a noun that means a doctrine that is believed to be of great importance.","Follow advice like gospel and you're following it as though it was the final word or authority on the matter. The word gospel comes from the Old English god meaning ""good"" and spel meaning ""news, a story."" In Christianity, the term ""good news"" refers to the story of Jesus Christ's birth, death, and resurrection. Gospel music is heard in church and sung by a gospel choir. Outside of its application to religion, the word gospel is also used to describe an idea or rule that's accepted as undoubtedly true.",6,0.00132626
"o}3R;gO,S",philanthropy,Apply the Meaning,,Someone who engages in philanthropy would most likely do which of the following?,donate money to charity | learn computer coding | collect postage stamps | study ancient cultures,donate money to charity,"In this question, philanthropy is a noun that means the act of donating money or time to promote human welfare.","If you donate money to a charity or volunteer to help people in need, you can call your good deeds philanthropy. Philanthropy is made up of two parts — Greek phil ""loving"" and anthrop ""mankind."" It refers to the desire to help people or the actual deeds a person does to benefit mankind. Philanthropy most often refers to the large amounts of money the wealthy donate to a cause such as world hunger or an organization such as a museum. A private organization that promotes the welfare of people can also be called a philanthropy.",6,0.001519757
K.vQnc*8O`,brush,Fill in the Blank,,"In kennels in which the training is regularly conducted, the dog should be ________ all over twice every day.",connected | ignored | purchased | brushed,brushed,"In this question, brush is a verb that means to rub with an implement that has bristles.","Use the noun brush when you want to refer to a quick, light touch. If you are comforting someone you don't know well, you can give their arm a quick brush to show sympathy. The noun brush can refer to a thick growth of scrub vegetation. You'll have to clear away the brush if you want to plant a garden there. As a verb, brush can mean to sweep, either literally or metaphorically. You can brush the dirt from the floor, but you can't just brush away your past misdeeds. The verb also means to touch lightly. If you are baking and you brush your hand across your cheek, chances are you'll leave a trail of flour there.",2,0.005882353
K{s{DA4ifN,foreigner,Fill in the Blank,,New York has become a magnet for ________ who are essentially converting their currencies to dollars and buying hard assets.,recipients | colonels | foreigners | miners,foreigners,"In this question, foreigner is a noun that means a person who comes from another country.","A foreigner is someone from another country. A foreigner is not from these parts. Things that are foreign are different and unknown to people. Likewise, a foreigner is someone from a different country. An American visiting China is a foreigner. A German person visiting Canada is a foreigner. Foreigners are often tourists who check out the sights of other countries. If a foreigner decided to relocate to another country, they become an immigrant and perhaps eventually a citizen.",4,0.003215434
hf#tlquL=#,mine,Fill in the Blank,,"Abundant and found close to the Earth’s surface, lead was naturally one of the first metals to be ________ by humans.",serviced | lanced | totaled | mined,mined,"In this question, mine is a verb that means to get from the earth by excavation.","A mine is a hole in the earth from which workers take valuable things: coal, diamonds, copper. It is also a bomb that explodes when it's touched, often buried in the earth. When you think of mines, think of something beneath the surface or hidden. People mine for gold by sifting through water and rocks. West Virginia is famous for its coal mines. A mine field might describe a field laced with explosives — such as landmines. When people put these explosives in place, they're mining the land. Also, any dangerous situation can be called a mine field. Talking about sensitive subjects — like religion or race — is a verbal mind field for sure.",1,0.03125
JV`++jsKak,relationship,Fill in the Blank,,"There could be no causal ________ between the two whatsoever, or their correlation could be the result of a shared, underlying cause independent of both.",weakness | invisibility | occupation | relationship,relationship,"In this question, relationship is a noun that means a state involving dealings between people, parties, or ideas.","When you're in a relationship, you're emotionally involved or at least connected in some way. If you're related to somebody — your parents, your aunts and uncles, your cousins — you share a family relationship with them. You can also use relationship to describe dealings between various groups, as “Members of the European Union have a relationship of economic interconnectedness,” or “A lease helps define your relationship with your landlord.” You'll also see relationship used with interactions that don't directly involve people. In many of these cases, the word relation is better. For example, in the sentence ""We are always looking at the relationship between ticket price and sales,"" it would be better to use relation.",3,0.004504505
O)a#U^NT@&,dedicate,Fill in the Blank,,"Founded as the Museum of Contemporary Crafts in the 1950s, the Museum of Arts and Design is ________ to contemporary art and design created from hand-manipulated media.",recited | dedicated | retransmitted | compensated,dedicated,"In this question, dedicate is a verb that means to give entirely to a specific person, activity, or cause.","To dedicate is to assign, to commit or to give over. If you dedicate a song you’ve written to a friend, it means the song belongs to them. If you dedicate yourself to a project, it means you give yourself to it. Things you may be dedicated to include your family, improving your local park, or attempting to break the world record for making the world's biggest rubber band ball. A dedicated resource is one committed to a specific mission, such as the computer room at your school being dedicated, or given over, to newspaper production every Tuesday afternoon.",3,0.003571429
t@!@ximVN},suburb,Fill in the Blank,,"Fighting is continuing in and around the city, with heavy clashes reported on its southern edge and bombardments in other ________.",suburbs | sundries | versions | provisions,suburbs,"In this question, suburb is a noun that means a residential district located on the outskirts of a city.","A suburb is a residential district located on the outskirts of a city. If you live in the suburbs, you probably travel to the city for work. Suburb comes from Latin: sub means ""below or near"" and urbis means ""city."" You also will recognize this root in urban. Suburbs have more single-family homes than apartment buildings, and living there, you are more likely to have a yard with trees and grass. The downside is, if you work in the city, you might have a long commute that adds to the time you are away from your family.",5,0.001838235
c(9T}2cL7j,besiege,Fill in the Blank,,"The governor of Shabwa, Ali Hassan al-Ahmadi, said: ""Abdullah Mehdar was killed last night by security forces, which had ________ the house he hid in.""",precipitated | recured | disintegrated | besieged,besieged,"In this question, besiege is a verb that means to surround so as to force to give up.","To besiege means to attack with an army, or to pester with many requests. When all your teachers ask you to hand in assignments on the same day, you can end up feeling besieged. The source of the word besiege in its military sense is the Latin word for ""seat."" When an army settles down in front of a fort or other site of attack, they are besieging it or taking a seat there. Picture them continually bombarding the fortress with arrows and cannon shot, and you've got the picture of the figurative sense of the word, ""to pester with requests, etc."" If you get a lot of spam in your e-mail, you are besieged with advertisements — and maybe also besieged with worries that you'll get a virus!",5,0.001972387
w;S6gX4#S>,telegraph,Apply the Meaning,,For which of the following would a telegraph most likely be used?,measurement | music | communication | typewriting,communication,"In this question, telegraph is a noun that means apparatus used to communicate at a distance over a wire.","Forget about the internet! Before even the telephone was invented, the telegraph — a device used to communicate via electronic signals — was the main mode of communicating long distance. We've come a long way! The telegraph is an outdated form of communication as far as sending long-distance messages goes. It uses an electric signal broken to create a code that then transmits over a wire and translates into a message. Alexander Graham Bell started tinkering with the telegraph and ended up inventing the first ""harmonic telegraph"" to transmit sound through a wire — which led to the birth of the modern telephone.",3,0.003533569
t<;pnIB2-H,spoiled,Apply the Meaning,,Which of the following terms would someone most likely use to describe a spoiled child?,brat | klutz | infant | whiz,brat,"In this question, spoiled is an adjective that means harmed by too much pampering or attention.","When a person is spoiled, they're damaged by having been given everything they want. Spoiled people are usually pretty rotten. When food is spoiled, it's also rotten—literally. Spoiled things and spoiled people are both fairly unpleasant. A spoiled child typically whines for something and gets it, becoming used to that kind of over-indulgent treatment. Spoiled milk smells terrible and tastes even worse. This adjective comes from the verb spoil, meaning ""ruin"" or ""destroy""; the idea was that giving in to a child's every whim would ruin him.",5,0.001960784
v!MuDz3(L1,translate,Apply the Meaning,,Who would need someone who can translate?,a person who has trouble getting rid of a computer virus | an understudy who just found out she is needed on stage | an employee who was caught stealing from his employer | a patient in an American hospital who speaks only Chinese,a patient in an American hospital who speaks only Chinese,"In this question, translate is a verb that means to restate from one language into another language.","To translate is to put into a different language or interpret. If your brother says, ""Gee, Mom, all of my friends have really cool pets, like snakes and stuff,"" you can translate that statement to mean ""I want a snake."" Translate comes from the Latin translates, which means ""carry across."" The word isn't limited to talking about language. You can translate sales into dollars, or a play into a movie. When used that way, translate means changing something from one form to another.",2,0.010416667
o4eX>GqqiR,gust,Fill in the Blank,,"Weekend afternoons fill the streets of most Spanish towns with families, but the only sound here Sunday was the occasional ________ of wind whipping in from the surrounding arid fields.",gust | wrench | fume | contractor,gust,"In this question, gust is a noun that means a strong current of air.","A gust is a strong, short burst of air. If you're walking around on a brisk, cold day, hold on to your papers tightly — a gust of wind could sweep in and send your notes flying into the air. You've probably seen the famous image of Marilyn Monroe standing on a sidewalk with her white dress blowing in the breeze from a subway grate — that might be the most famous gust of air in popular culture. Gust comes from the Old Norse word gustr, meaning ""a cold blast of wind."" Gust also can be used to describe other things that come on with a sudden burst, like a violent gust of rain or an unexpected gust of sadness.",6,0.001206273
f~RBi#|L6P,mantle,Fill in the Blank,,"For it is scarcely possible that such rocks could have been solidified and crystallised while uncovered; but if the metamorphic action occurred at profound depths of the ocean, the former protecting ________ of rock may not have been very thick.",mantle | gorge | hem | fringe,mantle,"In this question, mantle is a noun that means the layer of the earth between the crust and the core.","A mantle is a word for something that blankets over something else, like the loose cloak worn by Little Red Riding Hood or the layer of earth between the crust and core. Mantle is something that envelops and covers, like a tree covered in a mantle of snow. The Spanish writer Miguel de Cervantes Saavedra said, “Blessings on him who invented sleep, the mantle that covers all human thoughts.” Here, sleep is described as a mantle blanketing over the mind. Mantel is a variation of mantle, but it very specifically describes the shelf above a fireplace.",6,0.001254705
qcVryRT0=R,den,Apply the Meaning,,Which of the following would one most likely find in a den?,a couch | a stove | a bed | a toilet,a couch,"In this question, den is a noun that means a room that is comfortable and private.","Where’s the one place that bears go to hibernate and you go to watch the big game? It’s the den, a secluded room or shelter. Den is an Old English word meaning “shelter for a wild animal.” While we still use it in this sense, the word has taken on some additional meanings. For example, den can refer to a room that's used primarily for relaxing, watching television, and socializing with friends. (If your friends tend to act wild at times, then perhaps this definition isn’t so far off from the original one.) Den can also mean ""a hideout for criminals.""",3,0.003389831
eNR;4~$*Xh,interest,Fill in the Blank,,"Next, help your child identify a major of personal ________ that promotes intellectual curiosity and stretches her or him academically.",fate | disguise | interest | strain,interest,"In this question, interest is a noun that means a sense of concern with and curiosity about something.","Interest is used most often to describe something you like, enjoy or think useful. You might have an interest in African literature, or you might follow the news with interest. Although interest is used mainly to describe anything that is, well, interesting, it also is used in specific legal contexts. If you have an interest in a company, it means you own part of it. Interest is also the word used to describe money charged or given as part of a debt. If a bank loans you $10,000, you have to pay back the $10,000 plus the interest. If the interest rate is 5 percent annually, you would owe $500.",1,0.066666667
DBAuT<.=gB,sharp,Apply the Meaning,,Which of the following is most likely to be sharp?,a beach towel | a basketball | a chef's knife | a sleeping infant,a chef's knife,"In this question, sharp is an adjective that means having a point or thin edge suitable for cutting or piercing.","Something with a thin edge or a fine point that can cut is sharp. It's painful when your dog climbs into your lap, poking you with his sharp toenails. A knife and a pointed stick are sharp, since they can pierce or cut, and a piercing pain in your neck is also sharp. You can also use sharp to describe a smart person or clever decision — or someone who dresses well, or the clothes such a person wears. Sharp also means clear, like sharp images in a book of black and white photography, or sudden, like a sharp turn in a mountain road.",1,0.019230769
p#?@OzgFWC,phase,Fill in the Blank,,"It soon presented the ________ of a half moon, but the waviness of the straight line, as in the case of Venus and Mercury, showed that the size of the mountains must be tremendous compared with the mass of the body, some of them being obviously fifteen miles high.",phase | tension | slander | grasp,phase,"In this question, phase is a noun that means the particular appearance of a body's state of illumination.","A phase is a particular period of time, like someone whose ""teenage rebellion"" phase lasts well into her thirties. The word phase can mean a stage in a person’s development or a step in a process, such as “the next phase in the Interstate 57 project.” Phase can also be a verb, usually followed by in or out, to mean slowly introducing or getting rid of something. For example, your school might phase in a new rule or phase out an old one, as new students arrive.",4,0.003154574
b-9#Nd=JjJ,decorate,Fill in the Blank,,"Not one to limit herself to a single medium, Miranda also makes still-life-inspired cakes that she painstakingly ________ with handmade sugar-paste sculptures.",decorates | refutes | deflects | impedes,decorates,"In this question, decorate is a verb that means to make more attractive, as by adding ornament or color.","Putting up paintings, stringing up lights, and getting some flowers are all ways to decorate a house. When you decorate, you make things look better or at least more interesting. Even an attractively furnished home can be decorated for a holiday or party. That means you dress up your house to celebrate the special occasion. Decorate is also used to describe certain kinds of success. A famous athlete might decorate a gym with trophies and championship rings. We say a person in the military, like a general, is decorated when he or she is given medals for bravery or other accomplishments.",2,0.005405405
BYcS%QaQ.w,practical,Fill in the Blank,,"""It needs to become more empirical and ________—which strike me as traditionally conservative attitudes.""",biological | prejudiced | fanciful | practical,practical,"In this question, practical is an adjective that means guided by experience and observation rather than theory.","A stapler is a practical object––it has a use. A hand-crocheted stapler cozy designed to keep a stapler warm at night? Not practical at all. The word practice, in the sense of ""doing,"" is embedded in the word practical, which is all about ""doing."" ""Is it practical?"" means, is it good to do this? Does it have a use? Will it work? Silk shoes in a rainstorm? They're just not practical. A London Fog raincoat? Definitely practical.",1,0.01369863
lE%eU.WkBS,agony,Fill in the Blank,,"""Can they know the ________ of being denied pain relief just to see his reaction?""",identity | agony | drift | logic,agony,"In this question, agony is a noun that means a state of acute pain.","The noun agony means acute pain — either mental or physical, but people often use the word hyperbolically: ""This paper cut is agony."" The noun agony is also used in the common phrase ""the thrill of victory and the agony of defeat,"" which has been the tag-line of ABC's Wide World of Sports for decades. The catchphrase, in turn, is often rendered as a pun: ""He fell of the ladder and broke his foot. He writhed in agony from the pain, but the physical pain, was nothing compared to his mental agony when the doctor setting the bone joked, 'Now you know the agony of de feet!'""",3,0.005181347
xTT3.QVd6s,exposed,Fill in the Blank,,"When possible, people should wear light-colored long-sleeved shirts and long pants, and tuck their pants into their socks to decrease ________ skin.",customary | unyielding | exposed | electric,exposed,"In this question, exposed is an adjective that means not covered with clothing.","Something that's exposed is uncovered or unprotected. An exposed hillside isn't sheltered by hills, trees, or buildings, but is completely open to the wind and weather. If you venture out on a bitterly cold day with no gloves, your exposed fingers might get frostbite, and a soldier in battle with no body armor is dangerously exposed. If you leave a wooden chair outside all year long, exposed to rain and snow and sun, it will eventually fall apart. Exposed comes from the verb expose, ""leave without shelter or defense,"" from the Latin root exponere, ""lay open or reveal.""",2,0.005347594
L[rR(jae9|,colonel,Apply the Meaning,,What might you do if you hope to become a colonel?,enroll in cooking school | attend a military academy | apply for a factory job | become a night watchman,attend a military academy,"In this question, colonel is a noun that means a commissioned officer in the Army or Air Force or Marines.","A colonel is a commissioned military officer in the U.S. Army, Air Force, or Marines who ranks above a lieutenant colonel and below a brigadier general. We still say colonel like the French word it comes from, coronel, which means ""chief."" To your ear, it probably sounds like ""kernel."" A colonel leads a regiment, but there are many other levels of officers, all generals, above him. Just below the colonel is the lieutenant colonel, which means colonel’s aide, and below that is the rank of major.",1,0.015873016
C5(eao<1z%,knave,Fill in the Blank,,"They are ________ and scoundrels, Sonia!",rusticates | monitors | skepticisms | knaves,knaves,"In this question, knave is a noun that means a deceitful and unreliable scoundrel.","You don't hear about knaves much these days: it's an older word for a rascal, a scoundrel, or a rogue. It isn't a compliment. If you read Shakespeare for long, you'll definitely see the word knave more than once. In Shakespeare, an important person like a king or a prince might call a thief a knave. Knaves always tend to be up to trouble such as stealing and getting drunk. You don't want to trust a knave; knaves lie, deceive, and betray. Today, we might call a knave a scumbag or lowlife.",6,0.001410437
xmOi.d$Zz(,site,Fill in the Blank,,At least five Internet ________ were posting dispatches from correspondents at Everest Base Camp.,sites | glitches | barriers | specimens,sites,"In this question, site is a noun that means an Internet address providing information to others.","A site is a location. The leader of a Zombie Army might remind his underlings: “Your web site is just a collection of pages at one address on the Web. Your burial site is where you find more soldiers!” Site can also refer to a specific parcel of land, such as a building site or a burial site. Although a website has no physical location, it does have a virtual one, which is reached the same way a physical location is: by going to an address.",1,0.010638298
xic7n?/E)J,congenial,Fill in the Blank,,"The amount of happiness that really ________ friends can find in living together is fully as great as that of some marriages; and quite outside of daily contact in the household remains that boundless field of strength, stimulus and delight which comes of true social contact.",twinkling | congenial | ruddy | constrained,congenial,"In this question, congenial is an adjective that means suitable to your needs.","A congenial person is easy to get along with. If you're trying to decide which of your friends to take on a road trip, choose the most congenial one. Congenial means sharing the same temperament, or agreeing with your temperament. You can talk about a congenial person, place, or environment. Maybe you enjoy the congenial atmosphere of the library. Or perhaps for you the disco is more congenial. As you might expect for such a vaguely approving word, there are many synonyms: agreeable, pleasant, delectable, delightful, enjoyable, and so on.",6,0.001104972
rii{OKiL_{,prophet,Fill in the Blank,,He thought he was a ________ predicting the end of the current evil age and the future king of Israel in the age to come.,jester | prophet | squire | attorney,prophet,"In this question, prophet is a noun that means an authoritative person who divines the future.","By the time you finish reading this definition, you will understand what a prophet is. How do I know? Perhaps I am a prophet, someone who can predict the future. Or maybe it’s just a guess. The future is a foggy mystery, but a prophet sees beyond that fog to speak about what’s to come. A fortune teller is a prophet, and so is a savvy computer designer who knows how technology will change in ten years. Prophet comes from the Greek word for “spokesman,” which explains another definition of prophet: someone who speaks on behalf of God. Prophet is pronounced the same as profit, and some prophets use their talents to earn lots of profit.",2,0.00729927
j7}/hy=Y8m,elder,Apply the Meaning,,Where would one most likely find an elder?,on a movie set | in a botanical garden | in a classroom | in a retirement home,in a retirement home,"In this question, elder is a noun that means a person of more advanced age.","An elder is any person who is older than you, which you may know from your sister who is only two years older than you saying, ""Listen to your elders!"" A church elder is someone who helps run the church, not necessarily its eldest member. Elder can be used as an adjective: Abel was the elder brother of Cain. Elder can also be a noun: showing respect for one’s elders is a value instilled from a young age by our parents. Elder is also a kind of tree. In Act Five of “Love’s Labour Lost” Shakespeare plays with the meanings of elder: Holofernes says that Berowne should speak first because he is the elder (older), which inspires Berowne to mention the folklore that Judas was hanged on an elder tree.",2,0.006451613
BsF|GmS=L9,hurricane,Fill in the Blank,,"Four of the ________ will be major with sustained winds of at least 111 miles per hour, the leading U.S. storm research team said.",avalanches | epidemics | hurricanes | earthquakes,hurricanes,"In this question, hurricane is a noun that means a severe tropical cyclone usually with heavy rains and winds.","A hurricane is a severe tropical storm with high winds and heavy rain. When a hurricane comes through your town, you should board up the windows and stay inside. Hurricanes have sustained winds that rotate in a circle, which is why they are often referred to as cyclones. The worst hurricane in recent years in America was Hurricane Katrina, which hit New Orleans in 2005 and devastated the city. The word hurricane comes from the Spanish word huracan. Interestingly, the Old English dictionary has 39 spellings for the word based on English-Spanish-Portuguese hybrids.",5,0.001689189
f3LgF#NZXD,computer,Fill in the Blank,,"Being a fan of an online ________ game, however, can get you placed in an expensive private clinic for ""addiction therapy.""",bond | clasp | computer | vehicle,computer,"In this question, computer is a noun that means a machine for performing calculations automatically.","Unless you're living in a cave cut off from humanity, you've seen these electronic machines with a screen, keyboard, and brain that stores massive amounts of information. Computers are ubiquitous in offices, airports, schools...even caves cut off from humanity. Though computers are a thoroughly modern invention, the root word that gave them their name dates all the way back to Roman times. Tech geeks dreamed up computer by embellishing the English word compute, which means to calculate. Compute, in turn, comes from Latin com- ""with"" and putare ""to reckon."" So, your computer is a device that helps you reckon — or think. It also comes in handy for email and every type of entertainment imaginable.",3,0.004784689
#=(d-]ARZ,image,Fill in the Blank,,"A creed, like a coin, it may be argued, loses little in practical value because it is worn, or bears the ________ of a vanished king.",nursery | track | image | journal,image,"In this question, image is a noun that means a representation of a person.","An image is a picture or other representation of a person or thing, or it can be someone's public perception, like a rock star who tries to change his image by dressing like a professor and learning to play chess. Image has its roots in the Latin word imitari, meaning ""to copy or imitate""; images are judged by how realistically they capture the person or thing they show. Images come in various forms — portraits, photographs, paintings, and sculptures. Another kind of image is what we think a public figure like a celebrity is ""really like."" For example, a flat-broke former millionaire who wants to maintain his image as the money-spending life of the party.",1,0.012345679
p!HyN`rOL!,fiction,Apply the Meaning,,Which of the following would most likely be an example of fiction?,an autobiographical memoir | an instruction manual | a newspaper article | a fantasy novel,a fantasy novel,"In this question, fiction is a noun that means a literary work based on the imagination.","A fiction is a deliberately fabricated account of something. It can also be a literary work based on imagination rather than on fact, like a novel or short story. The Latin word fictus means “to form,” which seems like a good source for the English word fiction, since fiction is formed in the imagination. Like its literary cousins fable, legend, and myth, however, fiction has a slightly darker additional meaning: a deliberate lie or untruth. When we talk about ""the line between fact and fiction,"" we're talking about the difference between truth and lies.",3,0.004405286
m:LYy8}kO5,adaptation,Apply the Meaning,,Which of these is an example of adaptation?,A man prefers to eat the same lunch every day. | A teenager submits a poem to a literary magazine. | Taste buds gradually become used to spicy foods. | Many people prefer wider seats on airplanes.,Taste buds gradually become used to spicy foods.,"In this question, adaptation is a noun that means the responsive adjustment of a sense organ.","Some people always read the book before seeing the movie adaptation of it: They want to get the real story before it's rewritten for film and imagine what all the characters look like before the wrong actors are chosen to play them. Charles Darwin first used adaptation in 1859 to describe how an organism adapts and changes to become better suited to living in its habitat. Since then, the noun adaptation is often used to describe a change in behavior in response to new or modified surroundings, from learning to outrun a predator to wearing earplugs to block out your noisy neighbors. Or even changing that novel a bit to fit the demands of the big screen.",6,0.001135074
B&qb}13Hp],bait,Apply the Meaning,,Which of the following would most likely be considered bait?,a long commute | an elderly grandmother | a bribe | an aspirin,a bribe,"In this question, bait is a noun that means anything that serves as an enticement.","People who go fishing aren’t the only ones to use bait. When you hold a yard sale, place your best stuff closest to the sidewalk — to serve as bait. Bait can be anything from the worms that hide a hook to a stereo that tempts shoppers to stop and browse. Bait can also mean the act of getting someone or something to do what you want. For generations, students have baited their teachers into wasting class time with a question about a personal interest or obsession: “This talk about integers is very fascinating, Mr. Green, but what do you think about last night’s Penguins game?” Bait comes from the Old Norse, word beita — “to cause to bite.” Asking Mr. Green what other Viking words he knows might be interesting, and provide bait for his next off-topic musing.",5,0.001620746
goJ#d7xb2S,bound,Fill in the Blank,,"Through the gas cloud they could see him retreating, shielding himself with the body of his ________ and gagged prisoner.",productive | bound | stylish | ceremonial,bound,"In this question, bound is an adjective that means confined by bonds.","To bound is to jump or hop — usually as you run. Bound can also mean to go or to plan to go, especially to a certain destination, as in being bound for New York or homeward-bound. Superman can ""leap tall buildings in a single bound,"" but the word bound is usually about boundaries. When you're playing soccer or football, the ball goes ""out of bounds."" Someone can also be bound with rope — tied up. Commitments are another kind of tie. When you get married, you're bound to your partner. If you make a promise, you're bound to your word. On a less pleasant note, if you're constipated, you're bound up.",1,0.025641026
E$l2lKOYFl,survivor,Apply the Meaning,,Which of the following would best be considered a survivor?,a rainstorm that causes severe damage | a soldier who lived through the Vietnam War | a fictional character from a famous novel | a life-vest that does not fit on any adult,a soldier who lived through the Vietnam War,"In this question, survivor is a noun that means one who outlives another.","A survivor is someone who hasn't died: the word is used often about people who have been through a horrible experience, like a plane crash. Cancer survivors and Holocaust survivors have one thing in common: they lived through horrible ordeals and are still with us. The TV show ""Survivor"" made this word feel a little less weighty, but it still packs a punch. Anytime something horrible happens — like a car crash or an epidemic — you'll hear about the survivors. Some survivors may feel they are just lucky, but many survivors take pride in being strong enough to survive.",5,0.001636661
Cq[>q.cY%y,assailant,Fill in the Blank,,"Fifty well armed men might have defended the place against five hundred ________, as there was only one point, the inlet, susceptible of an attack.",diplomats | partisans | assailants | administrators,assailants,"In this question, assailant is a noun that means someone who attacks.","A wife who sends a vase sailing at her husband's head might be considered an assailant, or attacker. Or, they might be playing a game of dodgeball with the furniture. Assailant comes from the Latin ad- meaning ""at"" and salire meaning ""to leap."" Leap at someone and you're an assailant — someone who attacks. You'll usually hear this word when lawyers or police are talking about attacks, because most people use its synonym attacker in casual conversation. Have you ever been attacked by ants, looking down to see your foot covered in them? Think of the word ant when you spell the word assailant to remember its ending.",6,0.001164144
w1l3pOEYsN,scarce,Fill in the Blank,,"While some of the most fresh items in food stores could become more ________ owing to the weather conditions, the supermarkets tended to cope with stock levels for the majority of products.",active | scarce | moral | sufficient,scarce,"In this question, scarce is an adjective that means deficient in quantity or number compared with the demand.","If something is scarce, there isn't much of it around. Crops are scarce after a long drought, or you might find babysitters scarce if your kids are a nightmare to watch. Scarce, meaning “restricted in quantity,” can oddly be traced back to the same Latin word that spawned the word ""excerpt."" Use the word scarce when you want to say that something is hard to find or practically missing. When you know you’re about to be asked to do something unpleasant, like wash the dishes or take out the trash, go ahead and “make yourself scarce,” which means to be elusive or get out of there fast.",1,0.020408163
$ENVN5y&=,iron,Apply the Meaning,,Which of the following is most likely to be made of iron?,a gate around a mansion | the strap of a woman's purse | the pavement on a street | a couch for a living room,a gate around a mansion,"In this question, iron is a noun that means a heavy ductile magnetic metallic element.","Iron can refer to a common metal. It can also be that thing you use to get wrinkles out of your clothing. If you’re planning to wear linen, you might need an iron to smooth it out. When you use an iron to iron your clothes, you’re also using both the noun and verb form of iron. The noun describes the appliance and the verb describes the action of using it. Iron can also refer to a golf club, like that 5-iron you always use. If you’ve ever been a cattle rancher, you might also be familiar with a branding iron, a tool used to brand skin with a mark of ownership.",1,0.014084507
meuJN}A^OO,lend,Fill in the Blank,,"Cassie probably wasn’t going to pay him back the money and Big Joe knew it, but he ________ it to her anyway.",applied | guessed | sold | lent,lent,"In this question, lend is a verb that means to give temporarily; let have for a limited time.","When you lend something, you loan it or let someone borrow it. You might, for example, lend your bike to your brother — if he promises to be careful with it. Libraries lend people books, and car rental companies lend people cars — in both cases, the item that's been borrowed is supposed to be returned eventually. Another way to lend is to ""add a quality to,"" or ""be suitable for."" You could say that you think your hat lends you a mysterious quality, or that your trench coat lends itself to walking through a foggy city at dusk.",2,0.007633588
c1VV$B{(B8,gear,Fill in the Blank,,"In reality, however, the parts of our cells don’t operate with the precise movements of the springs and ________ of a clock.",mutes | parcels | torches | gears,gears,"In this question, gear is a noun that means a toothed wheel that engages another toothed mechanism.","The noun gear refers to several things. First, it’s the equipment we need for a sport or event. A gear is also a wheel with teeth that interlocks with another gear to transmit motion in a machine. The background of gear as ""equipment"" dates back to around 1200 and comes from the Old Norse gervi, ""apparel."" The word gear in machinery became common in the early 19th century, although there is evidence that the word came to mean ""toothed wheel"" as early as 1520. Gear entered English slang around 1951, meaning something stylish. This use was popularized in the 1960s, under the influence of British pop music.",5,0.001945525
qZ[j61_`yY,integrate,Fill in the Blank,,"The demonstration is a boost to the nascent field of ""wearable electronics"" in which devices are ________ into clothing and textiles.",prostrated | equated | integrated | specified,integrated,"In this question, integrate is a verb that means to make into a whole or make part of a whole.","To integrate is to make parts of something into a whole. It also means to become one unit, or to make a place (like a school) open to people of all races and ethnic groups. One of the results of the Civil Rights Movement was the decision to integrate the schools of the American South. Before this point, African American students went to different schools than white students. After the decision to integrate the schools, students of all races went to the same schools. Integrate also means to make into a whole or to incorporate into a larger structure: ""If your school is missing a unit on thermodynamics, your science teacher could integrate it into the curriculum.""",5,0.001964637
mEmY;e<lSi,tenant,Fill in the Blank,,"The room was a large and lofty one, and had been used by a former ________ as a studio.",eccentric | tenant | confidant | disciple,tenant,"In this question, tenant is a noun that means any occupant who dwells in a place.","A tenant is someone who lives in a place owned by someone else, usually paying rent. If you blast your music and let the cat pee in the corner, your landlord will not think that you're a very good tenant. Tenant is often used to mean ""renter,"" but it can mean anyone who has the right to live in a particular place, either because he signed a lease, which is a rental agreement, because he owns the land, or because government gave him a title to it. If you live in a big apartment building, you should be aware of your rights as a tenant, which usually include things like having heat in the winter and proper fire escapes.",4,0.002923977
LYgmg9ox64,galley,Fill in the Blank,,"The aircraft feature an “extensive” presidential suite, a permanent doctor and two food preparation ________ that can feed 100 people.",bureaus | curios | lobbies | galleys,galleys,"In this question, galley is a noun that means the kitchen area for food preparation on an airliner.","A galley is a long ship propelled by oars, and possibly sails as well. You're not likely to see a galley these days: they were used from ancient to medieval times. You may have seen movies portraying old ships with dozens of rowers, lined up on benches. Those ships are galleys. Galleys were used for more than a thousand years, and they played an important role in both war and trade. If someone today says they’ve been in a galley, you can assume they aren’t referring to this kind of ship. They probably mean the galley, or the kitchen area, of a ship or airplane.",5,0.001584786
